Malicious links

(GS) = General scam
(AS) = Account stealer

(AS) https://dlscorcl-up.com/welcome
(AS) https://discord-glveaway.online/nitro
(AS) https://iphoneway.weebly.com/
(AS) https://disords.gift/BFerDhAbECvcW
(AS) https://dliscord.com/xGfs7c4t2sdDOf41
(AS) https://1nitro.club/
(AS) https://app-discordc.com/
(AS) https://appnitro-discord.com/
(AS) https://appnitro-discord.com/
(AS) https://appnitro-discord.ru.com/
(AS) https://asstralissteam.org.ru/
(AS) https://boost-discord.com/
(AS) https://boostnitro.com/
(AS) https://boostnltro.com/
(AS) https://boostsnitro.shop/
(AS) https://clck.ru/
(AS) https://cllscordapp.fun/
(AS) https://cpp-discord.com/
(AS) https://d1scord.com/
(AS) https://diacord.com/
(AS) https://diccrd.com/
(AS) https://dicord.gift/
(AS) https://dicordglfts.ga/
(AS) https://dicsord-airdrop.com/
(AS) https://dicsord-airdrop.ru/
(AS) https://dicsord-airdrop.ru.com/
(AS) https://dicsord-gift.com/
(AS) https://dicsord-gift.ru/
(AS) https://dicsord-gifte.ru.com/
(AS) https://dicsord-give.com/
(AS) https://dicsord-give.ru/
(AS) https://dicsord-gives.com/
(AS) https://dicsord-nitro.com/
(AS) https://dicsord-ticket.com/
(AS) https://dicsord.gifts/
(AS) https://dicsord.gq/
(AS) https://dicsord.net/
(AS) https://dicsord.pw/
(AS) https://dicsord.ru/
(AS) https://dicsord.space/
(AS) https://dicsord.uk/
(AS) https://dicsordapp.co/
(AS) https://dicsordapp.ru/
(AS) https://dicsordgift.com/
(AS) https://dicsordgift.one/
(AS) https://dicsordgift.xyz/
(AS) https://dicsordgifts.xyz/
(AS) https://dicsordgifts.one/
(AS) https://dicsordnitro.info/
(AS) https://dicsordnitro.store/
(AS) https://dicsords-gift.ru/
(AS) https://dicsords.ru/
(AS) https://diisccord.com/
(AS) https://diiscord-app.com/
(AS) https://diiscord.gift/
(AS) https://dilscocd.com/
(AS) https://dilscord.com/
(AS) https://dilscordi.com/
(AS) https://dilscordi.org.ru/
(AS) https://dilscordl.com/
(AS) https://dirscod.com/
(AS) https://dirscod.gift/
(AS) https://discapp.info/
(AS) https://discbrdapp.com/
(AS) https://disccord-app.club/
(AS) https://disccord-app.com/
(AS) https://disccord-apps.com/
(AS) https://disccord-club.com/
(AS) https://disccord-nitro.com/
(AS) https://disccord.com/
(AS) https://disccord.ru/
(AS) https://disccord.shop/
(AS) https://disccordapp.live/
(AS) https://disccrd.com/
(AS) https://disccrd.gifts/
(AS) https://discdrd.gift/
(AS) https://discerdapp.com/
(AS) https://discgrdapp.com/
(AS) https://disckord.gift/
(AS) https://discoapps.club/
(AS) https://discoapps.live/
(AS) https://discobd.com/
(AS) https://discocd.com/
(AS) https://discocl.xyz/
(AS) https://discoclapp.pw/
(AS) https://discoclapp.xyz/
(AS) https://discocrd-app.com/
(AS) https://discocrd-gift.com/
(AS) https://discocrd-gift.ru/
(AS) https://discocrd-gifts.com/
(AS) https://discocrd-nitro.com/
(AS) https://discocrd.com/
(AS) https://discocrd.gift/
(AS) https://discocrd.gifts/
(AS) https://discocrdapp.com/
(AS) https://discod-apps.ru/
(AS) https://discod-nitro.ru/
(AS) https://discod.art/
(AS) https://discod.fun/
(AS) https://discod.gift/
(AS) https://discod.gifts/
(AS) https://discod.info/
(AS) https://discod.tech/ 
(AS) https://discodapp.com
(AS) https://discodapp.gift
(AS) https://discodnitro.info
(AS) https://discodnitro.ru
(AS) https://discond-nitro.ru
(AS) https://discomd.com
(AS) https://discond.gift
(AS) https://discond.ru.com
(AS) https://disconitros.com
(AS) https://discoord-app.com
(AS) https://discoord-apps.com
(AS) https://discoord-aps.com
(AS) https://discopd.com
(AS) https://discorb.blog
(AS) https://discorb.co
(AS) https://discorb.gift
(AS) https://discorb.gifts
(AS) https://discorb.info
(AS) https://discorb.ru
(AS) https://discorb.ru.com
(AS) https://discorbl.com
(AS) https://discorc.gift
(AS) https://discorcd-app.com
(AS) https://discorcd-gift.com
(AS) https://discorcd-nitro.com
(AS) https://discorcd.gift
(AS) https://discorcd.gifts
(AS) https://discorcdapp.com
(AS) https://discorcg.xyz
(AS) https://discorcl-app.com
(AS) https://discorcl-app.fun
(AS) https://discorcl-app.ru
(AS) https://discorcl-app.site
(AS) https://discorcl-app.xyz
(AS) https://discorcl-nitro.com
(AS) https://discorcl-nitro.ru
(AS) https://discorcl-nitro.ru.com
(AS) https://discorcl-nitro.site
(AS) https://discorcl.app
(AS) https://discorcl.art
(AS) https://discorcl.click
(AS) https://discorcl.club
(AS) https://discorcl.com
(AS) https://discorcl.gift
(AS) https://discorcl.gifts
(AS) https://discorcl.info
(AS) https://discorcl.life
(AS) https://discorcl.link
(AS) https://discorcl.org
(AS) https://discorcl.shop
(AS) https://discorcl.site
(AS) https://discorcl.website
(AS) https://discorclapp.com
(AS) https://discorclapp.fun
(AS) https://discorclapp.xyz
(AS) https://discorclgift.com
(AS) https://discorclgift.net.ru
(AS) https://discorclgift.xyz
(AS) https://discorcll.com
(AS) https://discorcll.online
(AS) https://discord-air.fun
(AS) https://discord-air.site
(AS) https://discord-air.xyz
(AS) https://discord-airdrop.com
(AS) https://discord-airdrop.fun
(AS) https://discord-airdrop.info
(AS) https://discord-airdrop.me
(AS) https://discord-airdrop.pw
(AS) https://discord-alrdrop.com
(AS) https://discord-app.art
(AS) https://discord-app.cc
(AS) https://discord-app.click
(AS) https://discord-app.co
(AS) https://discord-app.co.uk
(AS) https://discord-app.gifts
(AS) https://discord-app.info
(AS) https://discord-app.io
(AS) https://discord-app.live
(AS) https://discord-app.me
(AS) https://discord-app.net
(AS) https://discord-app.net.ru
(AS) https://discord-app.pw
(AS) https://discord-app.ru
(AS) https://discord-app.ru.com
(AS) https://discord-app.shop
(AS) https://discord-app.top
(AS) https://discord-app.uk
(AS) https://discord-app.us
(AS) https://discord-app.xyz
(AS) https://discord-appnitro.com
(AS) https://discord-apps.fun
(AS) https://discord-apps.info
(AS) https://discord-apps.site
(AS) https://discord-apps.space
(AS) https://discord-apps.xyz
(AS) https://discord-claim.com
(AS) https://discord-claim.ru
(AS) https://discord-claim.ru.com
(AS) https://discord-cpp.com
(AS) https://discord-drop.gift
(AS) https://discord-drop.info
